country,is_arabiensis,is_coluzzii,is_gambiae,year,latitude,longitude,contributor
Angola,0,81,0,2009,-8.884000000000011,13.302000000000008,Joao Pinto
Burkina Faso,3,135,157,2014,11.248256756756797,-4.28192905405405,Nora Besansky
Cameroon,2,26,416,2013,5.640274774774801,13.536222972972988,Nora Besansky
Central African Republic,0,18,55,1994,4.367000000000001,18.583000000000002,Alessandra della Torre
Cote d'Ivoire,0,80,0,2012,5.8980000000000095,-4.822999999999997,David Weetman
Democratic Republic of Congo,0,0,76,2015,4.282999999999999,21.017000000000035,David Weetman
Equatorial Guinea,0,0,10,2002,3.7,8.700000000000001,Igor Sharakhov
Gabon,0,0,69,2000,0.38400000000000023,9.455000000000005,Joao Pinto
"Gambia, The",0,169,69,2012,13.552845878136198,-15.294989247311792,Martin Donnelly
Ghana,0,64,36,2012,5.57405,-0.9347799999999995,David Weetman
Guinea,0,11,123,2012,8.84470588235294,-9.757941176470567,Ken Vernick
Guinea-Bissau,0,0,29,2010,11.942742574257442,-15.496168316831659,Joao Pinto
Kenya,13,0,28,2012,-3.5110000000000015,39.90900000000008,Janet Midega
Lab Cross,0,0,0,-1,53.4089999999997,-2.9690000000000367,Martin Donnelly
Malawi,41,0,0,2015,-15.932999999999996,34.75500000000003,Martin Donnelly
Mali,2,91,131,2014,12.01431111111115,-7.824622222222243,Nora Besansky
Mayotte,0,0,23,2011,-12.85708695652174,45.137434782608686,Igor Sharakhov
Mozambique,0,0,74,2004,-23.71599999999996,35.298999999999985,Joao Pinto
Tanzania,225,0,68,2015,-2.508323333333342,33.85035666666663,David Weetman
Uganda,82,0,207,2012,0.2664965517241366,32.59427586206877,Martin Donnelly
